Time,Set Temperature,Ventilation Temperature,Supply Air Temperature,Supply Fan,Valve Position,Heating Supply Temperature 1,Heating Supply Temperature 2,Total Heating Pump,Heating Pump 1,Heating Pump 2,Backup Heating Pump,Labeling,
2024-01-14 16,22,11.11,14.61,0,9.89,19.9,19.87,1,0,0,1,Fan fault,
2024-01-14 17,22,11.1,14.57,0,9.89,19.73,19.78,1,0,0,1,Fan fault,
2024-01-14 18,22,11.04,14.57,0,9.9,19.76,19.69,1,0,0,1,Fan fault,
2024-01-14 19,22,11.03,14.52,0,9.89,19.72,19.61,1,0,0,1,Fan fault,
2024-01-15 05,22,15.4,30.9,0.5,40.07,40.4,34.46,1,0,0,1,Sensor fault,
2024-01-15 06,22,17.84,35.85,1,62.7,41.16,37.52,1,0,0,1,Sensor fault,
2024-01-15 07,24,18.32,37.15,0.83,51.39,43.48,42.17,1.5,0,0.5,1,Sensor fault,
2024-01-15 08,22,18.58,38.43,1,62.71,44.63,44.33,1.6,0,0.6,1,Sensor fault,
2024-01-16 07,20,14.03,25.55,0.5,32.54,38.77,32.92,1,0,0,1,Sensor fault,
2024-01-17 07,20,14.11,25.46,0.5,32.57,38.86,32.36,1,0,0,1,Sensor fault,
2024-01-18 06,20,12.15,16.54,0.25,9.89,33.54,27.38,1,0,0,1,Sensor fault,
2024-01-20 07,20,13.73,18.61,0,9.89,24.5,26.3,1,0,0,1,Fan fault,
2024-01-20 08,20,13.51,18.2,0,9.89,23.96,25.65,1,0,0,1,Fan fault,
2024-01-20 09,20,13.41,17.94,0,9.9,23.43,25.02,1,0,0,1,Fan fault,
2024-01-20 10,20,13.17,17.52,0,9.9,22.92,24.45,1,0,0,1,Fan fault,
2024-01-20 11,20,13.07,17.21,0,9.89,22.45,23.95,1,0,0,1,Fan fault,
2024-01-20 12,20,12.85,16.87,0,9.89,22.03,23.46,1,0,0,1,Fan fault,
2024-01-20 13,20,12.76,16.63,0,9.89,21.67,23.02,1,0,0,1,Fan fault,
2024-01-20 14,20,12.63,16.27,0,9.89,21.29,22.55,0.85,0,0.25,0.6,Fan fault,
2024-01-20 15,20,12.48,16.06,0,9.89,20.97,22.15,1,0,1,0,Fan fault,
2024-01-20 16,20,12.47,15.87,0,9.89,20.64,21.76,1,0,1,0,Fan fault,
2024-01-20 17,20,12.4,15.66,0,9.89,20.37,21.43,1.5,0,1,0.5,Fan fault,
2024-01-20 18,20,12.13,15.36,0,9.89,20.11,21.1,2,0,1,1,Fan fault,
2024-01-20 19,20,12.06,15.2,0,9.89,19.86,20.81,2,0,1,1,Fan fault,
2024-01-21 07,20,11.51,14.76,0,9.89,19.83,19.3,1,0,1,0,Fan fault,
2024-01-21 08,20,11.5,14.7,0,9.89,19.86,19.25,1,0,1,0,Fan fault,
2024-01-21 09,20,11.56,14.63,0,9.89,19.82,19.19,1,0,1,0,Fan fault,
2024-01-21 10,20,11.6,14.62,0,9.89,19.83,19.14,1,0,1,0,Fan fault,
2024-01-21 11,20,11.56,14.57,0,9.89,19.77,19.09,1,0,1,0,Fan fault,
2024-01-21 12,20,11.51,14.44,0,9.89,19.84,19.04,1,0,1,0,Fan fault,
2024-01-21 13,20,11.55,14.4,0,9.89,19.94,18.99,1,0,1,0,Fan fault,
2024-01-21 14,20,11.57,14.44,0,9.89,19.9,18.96,1,0,0.75,0.25,Fan fault,
2024-01-21 15,20,11.64,14.4,0,9.89,19.77,18.95,1,0,0,1,Fan fault,
2024-01-21 16,20,11.59,14.4,0,9.89,19.79,19.93,1,0,0,1,Fan fault,
2024-01-21 17,20,11.54,14.4,0,9.89,19.83,20.01,1,0,0,1,Fan fault,
2024-01-21 18,20,11.55,14.41,0,9.89,19.77,19.96,1,0,0,1,Fan fault,
2024-01-21 19,20,11.52,14.42,0,9.89,19.87,19.92,1,0,0,1,Fan fault,
2024-01-22 07,20,11.92,21.82,0.5,32.52,41.29,30.16,2,0,1,1,Sensor fault,
2024-01-22 08,24,17.28,40.04,1,89.33,46.89,40.73,2,0,1,1,Sensor fault,
2024-01-22 09,25,18.63,43.77,1,99.98,50.39,47.87,2,0,1,1,Sensor fault,
2024-01-22 10,25,19.33,45.11,1,99.98,50.95,49.77,2,0,1,1,Sensor fault,
2024-01-22 11,25,19.76,45.33,1,99.98,50.94,49.92,2,0,1,1,Sensor fault,
2024-01-22 12,25,20.18,45.43,1,99.98,50.81,49.75,2,0,1,1,Sensor fault,
2024-01-22 13,25,20.24,45.36,1,99.98,50.85,49.6,2,0,1,1,Sensor fault,
2024-01-22 14,25,20.68,45.5,1,99.98,50.86,49.78,2,0,1,1,Sensor fault,
2024-01-22 15,25,20.55,45.41,1,99.98,50.8,49.7,2,0,1,1,Sensor fault,
2024-01-22 16,25,20.81,45.11,1,99.98,51.88,49.4,1.75,0,0.75,1,Sensor fault,
2024-01-22 17,25,21.64,44.88,1,99.98,53.63,49.99,1,0,0,1,Sensor fault,
2024-01-23 06,25,12.04,20.97,0.5,99.98,26.6,26.35,1,0,0,1,Sensor fault,
2024-01-23 07,25,17.17,38.86,1,99.98,37.62,47.54,1,0,0,1,Sensor fault,
